单品名称,品类,预测需求(kg),补货量(kg),售价(元/kg),期望利润(元)
净藕(1),水生根茎类,6.0,4.8,10.0,8.830835716006241
洪湖藕带,水生根茎类,4.9,4.5,26.26,6.111011306792932
云南生菜(份),花叶类,36.8,35.4,5.55,45.304467037657986
云南油麦菜(份),花叶类,22.7,21.0,4.54,24.814612629549877
娃娃菜,花叶类,11.1,9.2,7.69,18.160021027618264
竹叶菜,花叶类,14.4,13.4,6.42,18.116045591308257
菠菜(份),花叶类,16.6,16.6,5.31,15.310158268643818
木耳菜,花叶类,5.5,5.1,7.38,10.514013164964087
红薯尖,花叶类,6.3,4.6,7.65,8.804167278587276
奶白菜,花叶类,11.7,9.8,4.24,7.7921041571407414
小青菜(1),花叶类,6.6,6.0,4.98,6.444082066494978
上海青,花叶类,5.5,4.7,6.73,4.896296226539377
苋菜,花叶类,7.9,7.4,4.96,3.603158797407872
西兰花,花菜类,14.3,12.0,14.66,37.537302114750844
紫茄子(2),茄类,15.7,13.2,6.4,18.572737707497765
长线茄,茄类,6.2,4.6,11.91,12.349331869697636
小米椒(份),辣椒类,22.9,19.9,4.5,20.300468683099623
芜湖青椒(1),辣椒类,17.0,14.1,4.9,18.52304780535352
螺丝椒,辣椒类,8.6,7.3,10.43,16.837636619401906
螺丝椒(份),辣椒类,12.7,9.8,4.84,7.584755029478558
小皱皮(份),辣椒类,14.7,12.1,2.85,7.568686867676156
姜蒜小米椒组合装(小份),辣椒类,7.7,6.6,3.97,5.748228065805453
红椒(2),辣椒类,2.3,2.8,21.03,3.848260834645181
西峡花菇(1),食用菌,5.1,4.2,25.0,24.065737240638015
双孢菇(盒),食用菌,13.4,10.0,5.51,17.988847375194837
金针菇(盒),食用菌,21.7,18.0,2.49,11.86325922906061
海鲜菇(包),食用菌,12.6,11.0,3.3,9.746806333333339
虫草花(份),食用菌,2.7,2.8,4.35,1.2657715560073557
