单品A,单品B,共现次数,支持度,置信度A→B,置信度B→A,提升度,单品A名,单品B名,A类,B类
102900011034224,102900011032732,500,0.035265904923120324,0.36603221083455345,0.5580357142857143,5.791969514745869,小青菜(份),高瓜(2),花叶类,水生根茎类
102900011033920,102900011034224,719,0.05071237127944703,0.48845108695652173,0.5263543191800878,5.06973609873321,黄心菜(2),小青菜(份),花叶类,花叶类
102900011033906,102900011034224,885,0.06242065171392298,0.4820261437908497,0.6478770131771596,5.003050268423621,保康高山大白菜,小青菜(份),花叶类,花叶类
102900011030141,102900011034224,698,0.04923120327267598,0.48005502063273725,0.5109809663250366,4.9825915684706805,上海青(份),小青菜(份),花叶类,花叶类
102900011030141,102900011032732,456,0.03216250528988574,0.31361760660247595,0.5089285714285714,4.96257860090391,上海青(份),高瓜(2),花叶类,水生根茎类
102900011033920,102900011032732,458,0.03230356890957822,0.3111413043478261,0.5111607142857143,4.92339443420031,黄心菜(2),高瓜(2),花叶类,水生根茎类
102900011034224,102900011030134,552,0.03893355903512484,0.404099560761347,0.4738197424892704,4.9178743111368055,小青菜(份),菜心(份),花叶类,花叶类
102900011030141,102900011030134,573,0.040414727041895894,0.3940852819807428,0.4918454935622318,4.796000968174225,上海青(份),菜心(份),花叶类,花叶类
102900011030134,102900011032732,342,0.024121878967414304,0.2935622317596567,0.38169642857142855,4.645229153893316,菜心(份),高瓜(2),花叶类,水生根茎类
102900011033906,102900011033920,844,0.05952884751022711,0.4596949891067538,0.5733695652173914,4.427687198067633,保康高山大白菜,黄心菜(2),花叶类,花叶类
102900011033906,102900011032732,495,0.03491324587388912,0.2696078431372549,0.5524553571428571,4.266183035714285,保康高山大白菜,高瓜(2),花叶类,水生根茎类
106958851400125,106949711300068,541,0.038157709126816194,0.39402767662053895,0.40494011976047906,4.181530238866767,海鲜菇(袋)(4),金针菇(袋)(3),食用菌,食用菌
102900011032732,102900011034439,234,0.016504443504020312,0.2611607142857143,0.2620380739081747,4.14640157574788,高瓜(2),青红杭椒组合装(份),水生根茎类,辣椒类
102900011032237,102900011034439,374,0.026378896882494004,0.2558139534883721,0.41881298992161253,4.061512018542149,青线椒(份),青红杭椒组合装(份),辣椒类,辣椒类
102900005119944,102900005116912,574,0.04048525885174214,0.37812911725955206,0.43386243386243384,4.052240834849531,海鲜菇(1),姬菇(1),食用菌,食用菌
102900011034231,102900011034439,573,0.040414727041895894,0.25512021371326804,0.6416573348264277,4.050497637207966,奶白菜(份),青红杭椒组合装(份),花叶类,辣椒类
102900011034231,102900011034224,861,0.060727888277613204,0.38334817453250225,0.6303074670571011,3.978850965242912,奶白菜(份),小青菜(份),花叶类,花叶类
102900011033944,102900011034231,1365,0.0962759204401185,0.6074766355140186,0.6077471059661621,3.834730070488761,杏鲍菇(2),奶白菜(份),食用菌,花叶类
102900011033944,102900011034224,828,0.05840033855268726,0.3684913217623498,0.6061493411420205,3.824648579755926,杏鲍菇(2),小青菜(份),食用菌,花叶类
102900011035078,102900011034439,436,0.030751869092960925,0.24075096631695195,0.48824188129899215,3.822359686944843,红椒(2),青红杭椒组合装(份),辣椒类,辣椒类
