品类,日期,预测需求(kg),补货量(kg),售价(元/kg),加成率
花叶类,7月1日(周六),197.0,165.3,5.81,0.687
花叶类,7月2日(周日),186.7,156.6,5.81,0.687
花叶类,7月3日(周一),142.7,119.8,5.81,0.687
花叶类,7月4日(周二),136.3,114.4,5.81,0.687
花叶类,7月5日(周三),139.2,116.8,5.81,0.687
花叶类,7月6日(周四),136.2,114.3,5.81,0.687
花叶类,7月7日(周五),149.5,125.4,5.81,0.687
花菜类,7月1日(周六),22.5,13.6,14.47,0.538
花菜类,7月2日(周日),22.3,13.5,14.47,0.538
花菜类,7月3日(周一),15.9,9.6,14.47,0.538
花菜类,7月4日(周二),15.4,9.3,14.47,0.538
花菜类,7月5日(周三),15.6,9.4,14.47,0.538
花菜类,7月6日(周四),15.2,9.2,14.47,0.538
花菜类,7月7日(周五),17.5,10.5,14.47,0.538
水生根茎类,7月1日(周六),22.9,9.2,16.36,0.49
水生根茎类,7月2日(周日),21.4,8.6,16.36,0.49
水生根茎类,7月3日(周一),14.9,5.9,16.36,0.49
水生根茎类,7月4日(周二),14.5,5.8,16.36,0.49
水生根茎类,7月5日(周三),14.4,5.7,16.36,0.49
水生根茎类,7月6日(周四),13.9,5.6,16.36,0.49
水生根茎类,7月7日(周五),17.2,6.9,16.36,0.49
茄类,7月1日(周六),32.0,20.2,7.84,0.575
茄类,7月2日(周日),31.9,20.2,7.84,0.575
茄类,7月3日(周一),23.7,15.0,7.84,0.575
茄类,7月4日(周二),22.0,13.9,7.84,0.575
茄类,7月5日(周三),22.4,14.1,7.84,0.575
茄类,7月6日(周四),22.2,14.0,7.84,0.575
茄类,7月7日(周五),25.3,16.0,7.84,0.575
辣椒类,7月1日(周六),115.7,84.5,5.6,0.595
辣椒类,7月2日(周日),109.9,80.2,5.6,0.595
辣椒类,7月3日(周一),80.3,58.7,5.6,0.595
辣椒类,7月4日(周二),78.1,57.0,5.6,0.595
辣椒类,7月5日(周三),78.4,57.2,5.6,0.595
辣椒类,7月6日(周四),78.7,57.5,5.6,0.595
辣椒类,7月7日(周五),92.6,67.6,5.6,0.595
食用菌,7月1日(周六),74.9,51.1,6.26,0.615
食用菌,7月2日(周日),70.6,48.2,6.26,0.615
食用菌,7月3日(周一),49.7,33.9,6.26,0.615
食用菌,7月4日(周二),46.8,31.9,6.26,0.615
食用菌,7月5日(周三),51.1,34.9,6.26,0.615
食用菌,7月6日(周四),49.9,34.1,6.26,0.615
食用菌,7月7日(周五),58.2,39.8,6.26,0.615
