特征,重要性
X_conc,0.1376619498568677
X_conc_abs,0.0955171419151642
GC13,0.06468355455471905
GC21,0.051512440869594014
GC18,0.05080477174943366
BMI,0.05059122901550027
age,0.03935049836799302
dup_filter,0.03723063171864569
weight,0.03598189735114946
week,0.032027838363947646
GC,0.030386045986210652
Z18,0.030362452457598808
dup_ratio,0.029183447797314344
GC_dev,0.0284956664028148
Z18_abs,0.0280398555638426
Z21,0.026744178040192763
Z13,0.026086176243963484
filter_ratio,0.02535881388297283
ZX_abs,0.02523952892673122
reads_total,0.025156021655348332
Z13_abs,0.022955059088045366
map_ratio,0.022279752451963848
height,0.022172948792428614
Z_sum,0.021644877144312465
ZX,0.020723423806727634
Z21_abs,0.019809797996517383
