特征,系数,均值,标准差
GC21,-2.634383038155752,0.4012309752826446,0.005040558587150537
GC13,1.659510216062179,0.3790796892776859,0.004384305729119204
GC18,1.1006480542356734,0.3919494467454545,0.004180762643526841
X_conc,-0.5871308081151396,-0.006850891368595041,0.0179831696710763
X_conc_abs,0.46881248331072156,0.015122369639669422,0.011901388172991125
age,-0.4392474579784431,30.01818181818182,4.3054453316854735
weight,-0.31654008607492967,83.81634710743802,9.555638586988117
week,0.27252644964467077,18.345926800472252,4.365844836394786
map_ratio,0.2690835991448399,0.7957746598363636,0.017715310200321892
dup_ratio,-0.26112109811794604,0.03040611532231405,0.0033513010429387924
Z21,0.2560411247580318,-0.11744321538181819,1.1240244289048573
Z18,0.18833818540434744,0.8040434034198347,1.2831972988710616
ZX,-0.18048983790007497,0.4772221146198347,1.2994453327468662
filter_ratio,0.17048830996038508,0.023593128084297522,0.009399063317315793
Z13,-0.1598909451022822,0.4347932442297521,1.3293145902340457
reads_total,-0.12485342663935763,4711221.517355372,996975.2326539662
Z13_abs,0.12435814146250448,1.069777478616529,0.9009431676203576
BMI,-0.10744328596256822,32.16127756190909,2.949380825543792
Z18_abs,-0.07809789636762741,1.161378970983471,0.9717407000688577
dup_filter,0.07188212627139026,0.053999243406611566,0.010118440416993042
ZX_abs,-0.05475593990200512,1.0536905612049587,0.8977946985293573
GC_dev,0.04481147670114578,0.09891107421487604,0.004426105388115722
GC,-0.04481147670114396,0.401088925785124,0.004426105388115723
height,-0.018545786243022364,161.31272727272727,5.199935155349027
Z_sum,0.01784646513757445,3.1327039497917357,1.7191089786702616
Z21_abs,-0.008024551942021084,0.9015475001917355,0.6814953635294545
